Comments,Date,Disposition,Location,Occured,Reported,UCPDI,Outcome
"Unknown suspect, ran up to victim walking with a companion on the public way off-campus, fired a handgun striking the victim in the abdomen / Suspect fled on foot northbound on Woodlawn / Victim transported to the hospital by CFD EMS / CPD case HZ357543",Information,CPD,4915 S. Woodlawn (Public Way),2016-07-20,7/20/16 10:55 PM,16-00613,cpd
Unknown suspect took cell phone from table while distracting the victim,Theft,Open,5706 S. University (Reynolds Club),2016-07-21,7/21/16 12:12 PM,16-00614,open
UCPD and Chicago police responded to a call of shots fired off-campus in the area of 61st & Dorchester / No injured persons or property  damage found / No evidence of a shooting / CPD case,Information,CPD,61st & Dorchester,2016-07-21,7/21/16 5:36 PM,16-00615,cpd
Individual reports losing iPhone while in the Logan Center,Lost Property,Closed,915 E. 60th St. (Logan Center),2016-07-21,7/22/16 8:18 AM,16-00615,closed
"During the course of a domestic argument, patient's boyfriend hit her on the head with an open hand / Victim refused to prosecute",Battery,Ex. Cleared,5815 S. Maryland (Mitchell Hospital),2016-07-23,7/23/16 2:05 PM,16-00616,cleared
Secured bicycle taken from bike rack,Theft,Open,"1101 E, 56th St. (Max Palevsky RH Bike Rack)",2016-07-21,7/23/16 4:48 PM,16-00617,open
Set of keys found on a flower planter on the public way / Inventoried at UCPD for safekeeping,Found Property,Closed,5221 S. Harper (Public Way),2016-07-23,7/23/16 5:22 PM,16-00618,closed
Two unknown suspects snatched cell phone from the hand of a victim walking on the sidewalk off-campus and fled on foot / CPD case,Theft,CPD,5400 S. Ellis (Public Way),2016-07-23,7/23/16 6:42 PM,16-00619,cpd
Passenger riding in a vehicle off-campus suffered a gunshot wound to the torso when unknown person fired a shot into the vehicle / Suspect and motive unknown at this time / CPD case,Information,CPD,4600 S. Greenwood,2016-07-23,7/23/16 7:11 PM,16-00620,cpd
During the course of an argument one visitor struck another in the face / Suspect left hospital before police were called / CPD case HZ361562,Information,CPD,5700 S. Maryland (CCD),2016-07-23,7/23/16 7:41 PM,16-00621,cpd
"Unattended, unsecured laptop computer found in room 104 / Note left for owner / Turned over to UCPD for safekeeping",Found Property,Closed,5835 S. Greenwood (Stuart Hall),2016-07-23,7/23/16 8:46 PM,16-00622,closed
"As a result of an argument at a wedding reception, victim was struck on the head by one of the participants / Victim refused offer of medical assistance and refused to sign a complaint",Battery,Ex. Cleared,1155 E. 57th St. (Quadrangle Club),2016-07-24,7/24/16 12:31 AM,16-00623,cleared
Unknown person took victim's bicycle from rear porch of off-campus residence / CPD case,Theft,CPD,Kimbark between 57th & 58th,2016-07-22,7/24/16 9:20 AM,16-00624,cpd
"Unknown suspect pushed victim and took iPhone, in off-campus playlot, before fleeing on a bicycle accompanied by a companion  / CPD case HZ362258",Information,CPD,5641 S. Kimbark (Bixler Playlot),2016-07-24,7/24/16 11:28 AM,16-00625,cpd
Contract employee found a small baggie containing white powder (suspect narcotic) on floor in women's employee locker room / Inventoried at UCPD,Found Property,Closed,6025 S. Ellis (Cathey Dining Commons Locker Room),2016-07-24,7/24/16 2:51 PM,16-00626,closed
Individual found Acura car key in the street - Turned over to UCPD for safekeeping,Found Property,Closed,5900 S. Blackstone (Public Way),2016-07-25,7/25/16 7:58 AM,16-00627,closed
Unknown suspect riding bicycle snatched a cell phone from the hand of a victim walking on the sidewalk off-campus / Victim recovered phone when suspect fell from his bike while fleeing / CPD case HZ363379,Theft,CPD,1402 E. 55th St.,2016-07-25,7/25/16 9:41 AM,16-00628,cpd
"Laptop computer taken from unattended, unsecured book bag left on the floor / Suspect identified / Victim declined prosecution",Theft,Ex. Cleared,5823 S. Kenwood (Sunny Gym),2016-07-25,7/25/16 3:31 PM,16-00629,cleared
Tire and rim taken from bicycle secured to bike rack,Theft,Open,1100 E. 57th St. (Regenstein Bike Rack),2016-07-20,7/25/16 4:25 PM,16-00630,open
Secured bicycle taken from bike rack,Theft,Open,1029 E. 57th St. (Anatomy Bike Rack),2016-07-25,7/25/16 5:21 PM,16-00631,open
Book bag taken from unsecured locker in boy's locker room,Theft,Open,5835 S. Kenwood (Sunny Gym),2016-07-25,7/25/16 5:43 PM,16-00632,open
Secured bicycle taken from bike rack,Theft,Open,929 E. 57th St. (Gordon Center Bike Rack),2016-07-25,7/25/16 10:39 PM,16-00633,open
UCPD officer recovered a parked unoccupied vehicle that had been previously been reported stolen to CPD / CPD case HZ363346,Recovered Motor Vehicle,CPD,1132 E. 56th St.,2016-07-26,7/26/16 2:36 AM,16-00634,cpd
Damage discovered to front passenger's side wheel and tire of UC owned vehicle / Cause unknown at this time,Damage to Property,Closed,6054 S. Drexel,2016-07-22,7/26/16 10:48 AM,16-00635,closed
"3 individuals report cell phone and cash taken from unattended, unsecured back packs",Theft,Open,1212 E. 59th St. (Ida Noyes),2016-07-26,7/26/16 4:02 PM,16-00636,open
Victim walking off-campus was approached from the rear by two suspects and was thrown to the ground while his cell phone was taken from his hand / Suspects fled northbound on foot / Victim declined medical attention / CPD case HZ366330,Information,CPD,5445 S. Harper (Public Way),2016-07-27,7/27/16 7:41 AM,16-00637,cpd
Individual who was illegally soliciting patrons of café was detained by UCM Public Safety Officers / Suspect charged with trespass and also identified and charged with a previous felony theft of cell phone in the café on 6/28/16,Trespass,Arrest,5700 S. Maryland (CCD - Starbucks Café),2016-07-27,7/27/16 12:10 PM,16-00639,arrested
First Transit bus staff found cash on Shuttle Bus and turned it over to UCPD for safekeeping,Found Property,Closed,6054 S. Drexel,2016-07-27,7/27/16 4:18 PM,16-00640,closed
Number generated in error,Void,Void,Void,NA,Void,16-00641,void
UC Shuttle Bus involved in property damage crash / No injuries reported / MVA00117,Traffic Incident,Closed,6031 S. Ellis,2016-07-27,7/27/16 6:46 PM,16-00642,closed
Bicycle secured to bike rack taken by unknown person,Theft,Open,970 E. 58th St. (Bookstore Bike Rack),2016-07-28,7/28/16 6:57 PM,16-00643,open
"Victim walking on the sidewalk off-campus was approached by 2 unknown suspects, one armed with a weapon / Suspects demanded victim's property, but fled when they observed a police car on patrol / Suspects dropped weapon (air gun) recovered by police / CPD case HZ369236",Information,CPD,1354 E. 50th St. (Public Way),2016-07-29,7/29/16 7:38 AM,16-00644,cpd
Individual found wallet on the sidewalk / Turned over to UCPD for safekeeping,Found Property,Closed,5500 S. Ellis (Public Way),2016-07-29,7/29/16 4:58 PM,16-00645,closed
"2003 Dodge Caravan stolen from Edelstone parking lot / Unoccupied van recovered by Norridge, IL PD /",Theft,Open,6040 S. Ellis (Edelstone Parking Lot),2016-07-31,7/31/16 9:11 AM,16-00646,open
Individual fell from bicycle causing injury to face / Transported to ER by CFD EMS,Injury,Closed,6030 S. Ellis (Edelstone),2016-08-01,8/1/16 9:50 AM,16-00647,closed
Individual found a watch in Stout Park / Turned over to UCPD for safekeeping,Found Property,Closed,5446 S. Greenwood (Stout Park),2016-06-21,8/1/16 10:14 AM,16-00648,closed
"UC owned vehicle struck an intercom box in driveway / Property damage only, no injuries reported",Traffic Incident,Closed,920 E. 58th St. (Cummings),2016-08-01,8/1/16 12:29 PM,16-00649,closed
"Individual took several pairs of headphones from the store without paying / Suspect was arrested by UCPD officers on September 8, 2016 and charged with felony theft. (Ref. 16-00755)",Theft,Arrest,970 E. 58th St. (Bookstore),2016-07-28,8/1/16 2:02 PM,16-00650,arrested
Victim walking on the sidewalk off-campus struck by one of two suspects who took his property before fleeing in a waiting vehicle / Victim transported to ER by CFD EMS for treatment / CPD case HZ374454,Information,CPD,5055 S. Lake Shore Dr.,2016-08-01,8/1/16 9:53 PM,16-00651,cpd
Report of a missing package delivered by FedEx,Information,Closed,5482 S. Greenwood (Neighborhood Apts.),2016-07-13,8/1/16 10:59 PM,16-00652,closed
Secured bicycle taken from bike rack,Theft,Open,1101 E. 56th St. (Max Palevsky Bike Rack),2016-08-02,8/2/16 1:52 PM,16-00653,open
"Visitor tripped over her personal walker, fell to the floor causing injury to right leg / CFD EMS responded and administered first aid",Injury,Closed,1155 E. 58th St. (Oriental Institute),2016-08-02,8/2/16 4:44 PM,16-00654,closed
Individual lost Galaxy 6S phone while in the building,Lost Property,Closed,5807 S. Woodlawn (Booth School),2016-08-02,8/2/16 6:09 PM,16-00655,closed
UC Shuttle Bus involved in minor property damage traffic crash / No injuries reported,Traffic Incident,Closed,5714 S. Woodlawn,2016-08-02,8/2/16 6:22 PM,16-00656,closed
Ill person transported to the hospital by CFD EMS for evaluation and treatment,Medical,Closed,1101 E. 56th St. (Max Palevsky RH),2016-08-02,8/2/16 9:25 PM,16-00657,closed
An individual suffered a gunshot wound to the buttocks as a result of an apparent drive by shooting on the public way off-campus / A black sedan was seen leaving the scene / Victim transported to ER by CFD EMS / CPD case HZ375827,Information,CPD,5037 S. Drexel (Public Way),2016-08-02,8/2/16 10:03 PM,16-00658,cpd
UCPD officer recovered an unoccupied parked vehicle that had been reported stolen to CPD / CPD case HZ350292,Assist Other Agency,CPD,5334 S. Woodlawn,2016-08-03,8/3/16 3:57 AM,16-00659,cpd
Driver's side window of parked vehicle smashed,Damage to Property,Open,1300 E. Midway Pl.,2016-08-03,8/3/16 7:12 PM,16-00660,open
Secured bicycle taken from bike rack,Theft,Open,5730 S. Ellis (Crerar Library Bike Rack),2016-08-03,8/3/16 8:10 PM,16-00661,open
Unknown person took purse containing cell phone and other items from an off-campus establishment  / Cell phone later recovered on a CTA bus at 61st St. & Cottage Grove / Purse and other contents not recovered / CPD case,Theft,CPD,55th near Woodlawn (Tavern),2016-08-03,8/3/16 10:04 PM,16-00662,cpd
"Victim walking off-campus was approached by two unknown suspects, one displayed an object / Suspects took victim's cell phone and fled on foot / Victim reported no injuries / CPD case",Information,CPD,5425 S. Harper,2016-08-04,8/4/16 12:44 AM,16-00663,cpd
Two victims walking off-campus were approached by two unknown suspects who exited a vehicle and took their property at gunpoint / Suspects reentered vehicle and drove off / Victims reported no injuries / CPD case HZ377373,Information,CPD,1220 E. 54th St.,2016-08-04,8/4/16 1:24 AM,16-00664,cpd
"Victim walking off-campus was approached by two unknown suspects, one armed with a handgun / Suspects pushed the victim to the ground and took his book bag, entered a vehicle and drove off / Victim reported no injuries / CPD case",Information,CPD,5201 S. Ingleside,2016-08-04,8/4/16 1:42 AM,16-00665,cpd
"Two unknown suspects, one armed with a handgun took a purse from a victim walking on the sidewalk off-campus / Victim reported no injuries / CPD case HZ377864",Information,CPD,6320 S. Dorchester,2016-08-04,8/4/16 12:50 PM,16-00666,cpd
Resident returned to off-campus private apartment to find rear window and door open / No items appear to be missing / CPD case,Information,CPD,Kenwood between 57th & 58th,2013-08-04,8/4/16 8:13 PM,16-00667,cpd
During the course of a verbal altercation one visitor struck the other with a fist resulting in physical combat / Both parties treated for injuries and released / Aggressor arrested and charged with battery,Battery,Arrest,5815 S. Maryland (Mitchell Hospital),2016-08-04,8/4/16 11:20 PM,16-00668,arrested
"Unattended, unsecured backpack containing wallet, laptop and various items taken from unsecured lab office / Backpack containing iPod and keys found outside Law School / Subsequent unauthorized use of credit cards reported",Theft,Open,929 E. 57th St. (Gordon Center),2016-08-05,8/5/16 2:31 PM,16-00669,open
"Resident of off-campus private apartment building, walking in the stairway, was struck by an unknown suspect who then took cash from the victim and fled northbound on Cottage Grove / CPD case HZ380470",Information,CPD,Cottage Grove between 62nd & 63rd,2016-08-06,8/6/16 8:48 AM,16-00670,cpd
UCPD officers responded to a domestic situation off-campus / Peace restored,Information,Closed,Drexel between 52nd & 53rd,2016-08-02,8/6/16 1:20 PM,16-00671,closed
UCPD officer detained a suspect wanted by Chicago police for a domestic battery off-campus / Suspect arrested by CPD / CPD case HZ381056,Battery,CPD,1200 E. Hyde Park (Public Way),2016-08-06,8/6/16 5:09 PM,16-00672,cpd
"An individual walking on the sidewalk off-campus was, without provocation, assaulted by a group of unknown suspects and struck with fists / Victim received medical attention on the scene by CFD EMS / CPD case HZ381358",Information,CPD,1400 E. 52nd St. (Public Way),2016-08-06,8/6/16 9:19 PM,16-00673,cpd
An individual was struck in the face in an unprovoked assault by an unknown individual on the sidewalk off-campus / Victim received medical attention on the scene by CFD EMS / Referred to CPD,Information,CPD,5300 S. Dorchester (Public Way),2016-08-06,8/6/16 9:28 PM,16-00674,cpd
Individual injured his left knee while playing soccer with friends / Provided his own transportation to ER for evaluation and treatment,Injury,Closed,821 E. 55th St. (Stagg Field),2016-08-08,8/8/16 8:00 PM,16-00676,closed
Unknown person(s) damaged vending machine in room K480,Damage to Property,Open,5721 S. Maryland (Comer Hospital),2016-08-08,8/9/16 7:05 AM,16-00677,open
UC owned radio taken from private vehicle that was stolen off-campus on 8/8/16 / CPD case HZ383826,Theft,CPD,1155 E. 58th St. (Oriental Inst.),2016-08-08,8/9/16 11:07 AM,16-00678,cpd
"UC owned vehicle was damaged while located at car dealer in Oak Lawn, IL / Oak Lawn PD case 16-04921",Information,Closed,6054 S. Drexel,2016-08-01,8/9/16 2:30 PM,16-00679,closed
Secured bicycle taken from bike rack,Theft,Open,1100 E. 57th St. (Regenstein Bike Rack),2016-07-15,8/10/16 8:31 AM,16-00680,open
Individual reports disturbing cell phone messages from a friend,Information,Closed,5700 S. Maryland (CCD),2016-08-10,8/10/16 11:49 AM,16-00681,closed
Individual manually lifted gate arm at parking lot exit / Report generated in event lift arm was damaged as a result,Information,Closed,5505 S. Ellis (Parking Structure),2016-08-10,8/10/16 11:24 PM,16-00682,closed
"Wallet taken from unattended, unsecured purse left in unsecured room",Theft,Open,860 E. 59th St. (Goldblatt),2016-08-11,8/11/16 4:36 PM,16-00683,open
Number generated in error,VOID,VOID,VOID,NA,VOID,16-00684,void
Three individuals were observed on the roof of the building / Subjects warned of danger and escorted off the premises,Information,Closed,1100 E. 58th St. (Ryerson Lab),2016-08-13,8/13/16 4:23 AM,16-00685,closed
Unknown person took spare tire from beneath Chevy Silverado parked on the public way,Theft,Open,1010 E. 59th St. (Public Way),2016-08-13,8/13/16 3:04 PM,16-00686,open
"Victim standing on the sidewalk off-campus was called over to a vehicle that pulled to the curb / A suspect, known to the victim, displayed a handgun and took cash from the victim / Vehicle drove off northbound on Harper / CPD case HZ381701",Information,CPD,5118 S. Lake Park (Public Way),2016-08-14,8/14/16 1:07 PM,16-00688,cpd
UCPD officer recovered an unoccupied parked vehicle off-campus that had previously been reported stolen to Chicago Police / CPD case,Recovered Motor Vehicle,CPD,1351 E. 56th St.,2016-08-15,8/15/16 1:47 PM,16-00689,cpd
Estranged husband entered off-campus private residence and took victim's property / CPD case HZ393578,Theft,CPD,Dorchester between 49th & 50th,2016-08-14,8/15/16 6:49 PM,16-00690,cpd
Seat taken from bicycle secured to bike rack,Theft,Open,6045 S. Kenwood (Bike Rack),2016-08-16,8/16/16 7:59 PM,16-00691,open
UCPD officer recovered an unoccupied parked vehicle that had been previously been reported stolen to Chicago police / CPD case HZ372040,Information,CPD,6054 S. Drexel (Public Way),2016-08-17,8/17/16 9:05 AM,16-00692,cpd
Motorist emerging from alley off-campus struck a bicyclist / Victim transported to ER by CFD EMS,Information,Closed,5213 S. Woodlawn (Public Way),2016-08-17,8/17/16 10:45 AM,16-00693,closed
Vehicle struck pedestrian in crosswalk / Victim reported no injuries / MVA00135,Information,Closed,5600 S. Hyde Park,2016-08-18,8/18/16 8:31 AM,16-00694,closed
Unsecured bicycle taken from unlocked bike storage room in off-campus residential property,Theft,Open,1369 E. Hyde Park (Neighborhood Apts.),2016-08-17,8/18/16 11:25 AM,16-00695,open
Secured bicycle taken from bike rack,Theft,Open,5720 S. Ellis (Kersten Bike Rack),2016-08-18,8/18/16 4:33 PM,16-00696,open
Number generated in error,Void,Void,Void,NA,Void,16-00697,void
Secured bicycle taken from bike rack,Theft,Open,5730 S. Ellis (Crerar Library Bike Rack),2016-08-18,8/19/16 12:32 AM,16-00698,open
Boyfriend physically assaulted girlfriend in off-campus shopping center parking lot / Arrested by UCPD officers,Battery,Arrest,1400 E. 47th St. (Parking Lot),2016-08-21,8/21/16 8:59 PM,16-00699,arrested
Unknown person(s) entered off-campus private residence via rear window and took a laptop computer and iPad / CPD case HZ402239,Information,CPD,Dorchester between 56th & 57th,2016-08-22,8/22/16 9:04 AM,16-00700,cpd
"Victim, walking on the sidewalk off-campus, was struck in the face by an unknown suspect / Suspect fled southbound / Victim refused medical attention / Suspect later arrested by UCPD officer / Refer to Incident 16-00702 below",Battery,Arrest,5307 S. Kimbark (Public Way),2016-08-22,8/22/16 4:14 PM,16-00701,arrested
"Victim, walking on campus walkway, was approached by suspect who grabbed her and demanded her cell phone / Suspect fled without taking phone and was apprehended by UCPD officer as he attempted to make his escape / Suspect charged with felony attempt robbery / Suspect charged with battery in re. above incident 16-00701",Robbery,Arrest,924 E. 57th St. (Campus Walkway),2016-08-22,8/22/16 5:07 PM,16-00702,arrested
"Unattended, unsecured wallet taken from window ledge in 7th floor hallway / Follow up invesitigation revealed the complainant had misplaced the wallet and later found it intact among his belongings",Theft,Unfounded,6031 S. Ellis (Granville-Grossman RH),2016-08-23,8/23/16 12:01 PM,16-00703,unfounded
Unknown person(s) gained entry to off-campus private residence via open basement window and took jewelry and TV / CPD case HZ404619,Information,CPD,Park Pl. between Blackstone & Harper,2016-08-23,8/23/16 9:04 PM,16-00704,cpd
"Unknown individual attempted to take property from a backpack left hanging on a street post / When confronted by owner, suspect fled without property",Theft,Open,5901 S. Cottage Grove (Public Way),2016-08-24,8/24/16 12:48 AM,16-00705,open
Traffic violator arrested by UCPD officer for active warrant from Illinois Dept. of Corrections,Arrest,Arrest,5200 S. Lake Park,2016-08-24,8/24/16 1:29 AM,16-00706,arrested
Window in room M361 broken / Spent projectile found on floor,Damage to Property,Open,950 E. 59th St. (Billings Hospital),2016-08-23,8/24/16 8:23 AM,16-00707,open
Secured bicycle taken from secured bike storage room in apartment building,Theft,Open,1369 E. Hyde Park (Fairfax Apts.),2016-08-11,8/24/16 10:40 AM,16-00708,open
Patient struck wife with his hand / Victim declined prosecution,Battery,Ex. Cleared,5758 S. Maryland (DCAM),2016-08-24,8/24/16 1:26 PM,16-00709,cleared
Secured bicycle taken from bike rack.,Theft,Open,929 E. 57th St. (Gordon Center Bike Rack),2016-08-24,8/24/16 6:24 PM,16-00710,open
Elderly patient was physically abused by granddaughter / Suspect left prior to arrival of UCPD,Battery,Open,901 E. 58th St. (Mitchell ER),2016-08-24,8/24/16 9:15 PM,16-00711,open
Two wheels taken from bicycle secured to bike rack,Theft,Open,929 E. 57th St. (Gordon Center Bike Rack),2016-08-24,8/24/16 11:11 PM,16-00712,open
Unknown suspect took a bag from victim walking on the street off-campus / Suspect fled northbound on foot / CPD case HZ406347,Theft,CPD,5551 S. Woodlawn (Public Way),2016-08-25,8/25/16 8:38 AM,16-00713,cpd
Unknown suspect approached four individuals on the sidewalk off-campus / Subject searched the four and took cash from one victim before fleeing / No weapon displayed / No injuries reported / CPD case HZ407083,Information,CPD,5400 S. Kenwood (Pubic Way),2016-08-25,8/25/16 6:27 PM,16-00714,cpd
Patient's wallet lost while transferring rooms in the hospital,Lost Property,Closed,5700 S. Maryland (CCD),2016-08-22,8/25/16 5:52 PM,16-00715,closed
"Victim, unaffiliated with the University, suffered a gunshot wound to the right leg as a result of a domestic altercation with girlfriend / Suspect drove westbound on 60th St. in a black vehicle / Victim transported to hospital by CFD EMS / CPD case HZ407971",Information,CPD,1551 E. 60th St. (Public Way),2016-08-26,8/26/16 1:47 PM,16-00716,cpd
Tail light on UC owned vehicle accidentally damaged while gear was being placed in trunk,Information,Closed,4900 S. Kenwood,2016-08-27,8/27/16 11:31 PM,16-00717,closed
"As a result of an ongoing dispute between co-workers, one staff member alleged co-worker intentionally bumped her with her shoulder / Victim declined to prosecute / Matter to be handled by Hospital HR",Battery,Ex. Cleared,5815 S. Maryland (Mitchell Hospital),2016-08-27,8/28/16 9:40 AM,16-00718,cleared
Unknown person(s) entered off-campus private residence via an unlocked window and took a bicycle / CPD case HZ411890,Information,CPD,52nd St. between Drexel and Ellis,2016-08-29,8/29/16 11:32 AM,16-00719,cpd
Report of harassing phone calls from an unidentified individual,Harassment,Open,5841 S. Maryland (Chicago Lying In Hospital),2016-08-22,8/29/16 12:38 PM,16-00720,open
Unknown person(s) entered off-campus private apartment and took a TV / CPD case HZ412113,Information,CPD,University between 61st & 62nd,2016-08-29,8/29/16 2:58 PM,16-00721,cpd
iPhone found on shuttle bus turned over to UCPD by First Transit staff member / Owner contacted and notified to pick up phone at UCPD HQ,Found Property,Closed,6054 S. Drexel,2016-08-27,8/29/16 5:05 PM,16-00722,closed
"Victim was approached by an unknown suspect after parking car on the street off-campus / Suspect, armed with a handgun, took victim's back pack and car / CPD report HZ412762",Information,CPD,5400 S. Dorchester,2016-08-29,8/29/16 10:48 PM,16-00723,cpd
UCPD officer recovered an unoccupied vehicle parked at the curb that had previously been reported as stolen to CPD / In-car LPR generated / CPD case HZ397848,Information,CPD,6229 S. Ellis,2016-08-30,8/30/16 8:59 AM,16-00724,cpd
Individual reports losing wallet between 1126 E. 59th St. and 5758 S. Maryland,Lost Property,Closed,5758 S. Maryland (DCAM),2016-08-30,8/30/16 2:43 PM,16-00725,closed
Key to UC owned vehicle lost,Lost Property,Closed,6054 S. Drexel,2016-07-14,8/31/16 11:22 AM,16-00726,closed
First Transit staff turned over wallet found on Shuttle Bus / Inventoried for safekeeping at UCPD,Found Property,Closed,6054 S. Drexel,2016-08-31,8/31/16 11:36 AM,16-00727,closed
"Staff member received a ""prank"" package filled with glitter / Turned over to UCPD",Information,Closed,5721 S. Maryland (Comer Hospital),2016-08-31,8/31/16 1:53 PM,16-00728,closed
"Unattended, unsecured purse left in unsecured classroom taken by an unknown person / Complainant reports she had misplaced her purse which was later found intact / Unfounded",Theft,Unfounded,1362 E. 59th St. (Lab School),2016-08-31,8/31/16 4:16 PM,16-00729,unfounded
Unknown person(s) entered off-campus private apartment via unsecured rear window and took property / CPD case,Information,CPD,Ellis between 54th & 55th,2016-08-30,8/31/16 5;03 PM,16-00730,cpd
"Two unknown suspects, one armed with a handgun, attempted to forcibly enter front door of off-campus private residence, but home owner shut the door before they could enter / Suspects fled / CPD case HZ415419",Information,CPD,54th St. between Woodlawn and Kimbark,2016-08-31,8/31/16 8:47 PM,16-00731,cpd
UC owned vehicle struck concrete barrier damaging right side-view mirror / No injuries reported / MVA00139,Information,Closed,5235 S. Harper (Parking Garage),2016-08-29,9/1/16 9:49 AM,16-00732,closed
Report of harassing telephone calls to staff,Information,Open,5700 S. Maryland (CCD),2016-08-31,9/1/16 12:31 PM,16-00733,open
"Unknown suspect, armed with a handgun, approached individual behind the off-campus shopping center and demanded property / Victim's friend observed the crime and tackled the suspect / During the struggle the weapon discharged but no injuries resulted / Suspect fled / Victim declined medical assistance / CPD case HZ416586",Information,CPD,Harper between 54th & 55th (Rear of Shopping Center),2016-09-01,9/1/16 6:05 PM,16-00734,cpd
Unknown person(s) smashed window of car parked in the garage and took items from the vehicle,Theft,Open,5840 S. Maryland (Parking Structure),2016-08-31,9/1/16 7:01 PM,16-00735,open
Contract employee tripped over uneven pavement and injured right ankle / Transported to ER for evaluation and treatment,Injury,Closed,5835 S. Greenwood (Main Quad),2016-09-01,9/2/16 1:17 AM,16-00736,closed
"Traffic crash / Property damage only, no injuries reported / CPD case HZ417182",Information,CPD,1362 E. 59th St.,2016-09-02,9/2/16 7:55 AM,16-00737,cpd
Unknown person took wheel from bicycle secured to bike rack,Theft,Open,1427 E. 60th St.,2016-09-02,9/2/16 2:11 PM,16-00738,open
Individual in need of assistance was transported and admitted to Jackson Park Hospital for mental evaluation and treatment,Mental Health,Closed,5839 S. Maryland,2016-09-02,9/2/16 10:34 PM,16-00739,closed
Secured bicycle taken from bike rack,Theft,Open,1100 E. 57th St. (Regenstein Bike Rack),2016-09-03,9/3/16 11:57 AM,16-00740,open
"Unknown suspect, armed with a handgun, took cash from victim walking in the alley off-campus / Victim reported no injuries / CPD case HZ481816",Information,CPD,4410 S. Drexel (Alley),2016-09-03,9/3/16 11:18 AM,16-00741,cpd
Staff member found plastic baggy that tested positive for heroin / Turned over to UCPD for proper disposal,Found Property,Closed,5700 S. Maryland (CCD),2016-09-03,9/3/16 9:11 PM,16-00742,closed
"Unknown suspect, armed with a handgun, took wallet and cell phone from victim inside of the Metra train station / Suspect fled to a waiting vehicle that went eastbound on 57th St. / Metra Police case 16-00032392",Information,Metra Police,1520 E. 57th St. (Metra Station),2016-09-03,9/3/16 10:33 PM,16-00743,referred
Vehicle travelling southbound struck median wall / Motorist transported to ER for evaluation and treatment / MVA2016-00141,Traffic Incident,Closed,5430 S. Lake Shore Dr.,2016-09-03,9/4/16 12:16 AM,16-00744,closed
iPad taken from bag left in unsecured locker in secured locker room #4306,Theft,Open,5700 S. Maryland (CCD),2016-09-03,9/4/16 9:53 AM,16-00745,open
Unknown person raised unsecured window in off-campus private apartment and took a laptop from a table / CPD case,Information,CPD,54th between Woodlawn & Kimbark,2016-09-05,9/5/16 3:52 PM,16-00746,cpd
"Two unknown suspects, one armed with a handgun, took a back pack from a person walking on the sidewalk off-campus / CPD case HZ421844",Information,CPD,6213 S. University,2016-09-05,9/5/16 8:00 PM,16-00747,cpd
Keys to UC owned vehicle lost,Lost Property,Closed,6054 S. Drexel,2016-09-05,9/6/16 8:33 AM,16-00750,closed
Unknown person(s) entered off-campus private apartment via an unsecured kitchen window and took property / CPD case,Information,CPD,Kimbark between 53rd & 54th,2016-09-06,9/6/16 10:44 AM,16-00751,cpd
Individual reports losing wallet while in the hospital,Lost Property,Closed,5815 S. Maryland (Mitchell Hospital),2016-09-06,9/6/16 2:44 PM,16-00752,closed
UCPD officer detained two suspects trespassing on the rear stairs at an off-campus private apartment building / Suspects turned over to and arrested by CPD officers / CPD case HZ424120,Trespass,CPD,Kenwood between 57th & 58th,2016-09-07,9/7/16 11:52 AM,16-00753,cpd
Information relating to a dispute between neighbors,Information,Closed,Kenwood between 56th & 57th,2016-08-26,9/7/16 3:42 PM,16-00754,closed
Suspect took merchandise from the establishment without paying / Suspect arrested by UCPD officers after a brief foot chase / Suspect was wanted for previous theft from the store (ref. 16-00650) Suspect charged with 2 counts of felony theft,Theft,Arrest,970 E. 58th St. (Bookstore),2016-09-08,9/8/16 11:58 AM,16-00755,arrested
Domestic disturbance involving boyfriend and girlfriend / Peace restored / CPD case HZ425718,Information,CPD,5645 S. Cottage Grove (Public Way),2016-09-08,9/8/16 3:00 PM,16-00756,cpd
Unknown person(s) gained entry to off-campus private apartment and took TV / CPD case,Information,CPD,Woodlawn between 52nd & 53rd,2016-09-08,9/8/16 5:12 PM,16-00757,cpd
"Delivery truck backed into and damaged loading dock door / Property damage only, no injuries reported / 2016-MVA00146",Information,Closed,5745 S. Drexel (Crerar Library Loading Dock),2016-09-08,9/9/16 8:09 AM,16-00758,closed
"Unknown person removed iPhone from unattended, unsecured bag on the 4th floor",Theft,Open,5811 S. Ellis (Cobb Hall),2016-09-09,9/9/16 11:13 AM,16-00759,open
Sick person transported to ER by CFD EMS for evaluation and treatment,Information,Closed,1025 E. 58th St. (Swift Hall),2016-09-09,9/9/16 2:38 PM,16-00760,closed
Staff member was intentionally bumped by the parent of a patient while walking in the hallway / Victim refused to prosecute,Battery,Ex. Cleared,5721 S. Maryland (Comer Hospital),2016-09-09,9/9/16 3:23 PM,16-00761,cleared
Secured bicycle taken from bike rack,Theft,Open,5823 S. Kenwood (Lab School Bike Rack),2016-09-08,9/9/16 5:09 PM,16-00762,open
Unknown person gained entry to off-campus private apartment via unsecured rear window / Suspect fled without taking property / CPD case,Information,CPD,Dorchester between 56th & 57th,2016-09-10,9/10/16 9:12 AM,16-00763,cpd
Unsecured cash lost during patient's stay in hospital / Room transfers involved,Lost Property,Closed,5700 S. Maryland (CCD),2016-09-07,9/10/16 3:56 PM,16-00764,closed
